Fri Jan 29 15:37:34 CST 2016
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1454065687459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065692461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065683933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065688934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065693930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065698933,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065703933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065708934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065713932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065718934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065723931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065728931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065733932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065738932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065743934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065697462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065702461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065707458,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065712461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065717469,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065722463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065727458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065732458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065737459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065742462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065747458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065752462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065757463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065748931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065753931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065758930,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065763931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065768930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065773933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065778930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065783931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065788932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065793933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065798931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065803931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065808934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065762462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065767458,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065772459,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065777460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065782463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065787459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065792460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065797459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065802462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065807461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065812459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065817459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065822461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065813934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065818934,5,200,4,1,17,0,0,0,0,0,0,0,0
